City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
97,Vila Franca Do Campo,PT,61.21,clear sky,37.7167,-25.4333,Pestana Bahia Praia
98,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
99,Katsuura,JP,66.63,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
107,Taltal,CL,66.67,few clouds,-25.4,-70.4833,Residencial Karime
113,Cuencame,MX,79.79,clear sky,24.8711,-103.6964,HOTEL RICOME
114,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
115,Kashi,CN,69.01,broken clouds,39.4547,75.9797,帕米尔青年旅舍
116,Ahipara,NZ,61.2,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
117,Imbituba,BR,77.86,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
120,Kavaratti,IN,85.28,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
121,Jamestown,US,78.06,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
122,Avarua,CK,69.85,overcast clouds,-21.2078,-159.775,Paradise Inn
123,Namatanai,PG,78.64,light rain,-3.6667,152.4333,Seagulls Inn Namatani
128,Ambulu,ID,76.12,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
129,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
130,Kavieng,PG,81.81,few clouds,-2.5744,150.7967,Nusa Island Retreat
131,Coahuayana,MX,87.39,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
133,Darnah,LY,64.94,broken clouds,32.767,22.6367,فندق الفردوس
137,Naro,IT,68.9,overcast clouds,37.2935,13.7936,San Caloiru Home
140,Hilo,US,72.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
142,Malpe,IN,81.7,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
144,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
145,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
146,Yeppoon,AU,65.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
149,Cabra,ES,68.16,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
150,Iraucuba,BR,81.07,broken clouds,-3.7461,-39.7833,Hotel Terra da Amizade
153,Naifaru,MV,84.87,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
154,Mayo,US,68.67,mist,38.8876,-76.5119,Resorts Resource Group International
155,Santa Lucia,ES,67.32,scattered clouds,27.9117,-15.5407,Las Tirajanas
156,Gweta,BW,78.49,few clouds,-20.1833,25.2333,Gweta Lodge
