City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Naro,IT,37.2935,13.7936,68.9,56,90,5.12,overcast clouds
138,Longyearbyen,SJ,78.2186,15.6401,4.84,56,75,13.8,broken clouds
139,Pevek,RU,69.7008,170.3133,0.0,94,94,2.91,overcast clouds
140,Hilo,US,19.7297,-155.09,72.28,92,75,4.61,broken clouds
141,Bogorodskoye,RU,56.55,37.8833,48.31,95,100,5.3,overcast clouds
142,Malpe,IN,13.35,74.7167,81.7,81,83,12.15,broken clouds
143,Potenza,IT,40.6443,15.8086,57.92,61,2,7.0,clear sky
144,Mahebourg,MU,-20.4081,57.7,76.24,73,40,11.5,scattered clouds
145,Georgetown,MY,5.4112,100.3354,82.33,91,20,4.61,light rain
146,Yeppoon,AU,-23.1333,150.7333,65.98,83,100,20.76,overcast clouds
147,Margate,GB,51.3813,1.3862,52.11,81,76,10.0,broken clouds
148,Leh,IN,34.1667,77.5833,42.51,53,100,7.14,overcast clouds
149,Cabra,ES,37.4725,-4.4421,68.16,46,30,9.62,scattered clouds
150,Iraucuba,BR,-3.7461,-39.7833,81.07,81,75,5.77,broken clouds
151,Vostok,RU,46.4856,135.8833,39.63,76,100,5.19,overcast clouds
152,Alta Floresta,BR,-9.8756,-56.0861,94.82,49,75,6.91,broken clouds
153,Naifaru,MV,5.4444,73.3657,84.87,70,88,2.17,overcast clouds
154,Mayo,US,38.8876,-76.5119,68.67,77,100,9.22,mist
155,Santa Lucia,ES,27.9117,-15.5407,67.32,53,40,16.11,scattered clouds
156,Gweta,BW,-20.1833,25.2333,78.49,35,23,7.38,few clouds
157,Nemuro,JP,43.3236,145.575,39.56,73,44,10.51,scattered clouds
158,Tornio,FI,65.8481,24.1466,35.62,92,100,6.49,light rain
159,Marsa Matruh,EG,31.3525,27.2453,66.45,70,52,7.9,broken clouds
160,Pacific Grove,US,36.6177,-121.9166,64.2,77,0,7.0,clear sky
161,Westport,US,41.1415,-73.3579,63.3,42,100,5.99,overcast clouds
162,Smirnykh,RU,49.75,142.8333,22.37,89,8,4.65,clear sky
163,Wanning,CN,18.8003,110.3967,78.08,94,10,9.26,clear sky
164,Muisne,EC,0.6,-80.0333,80.15,80,93,7.99,light rain
165,Beyneu,KZ,45.3167,55.2,66.2,27,15,10.8,few clouds
166,Tura,IN,25.5198,90.2201,75.07,53,0,5.7,clear sky
167,Hailar,CN,49.2,119.7,33.35,97,95,19.55,light snow
168,Akhmim,EG,26.5622,31.745,88.23,9,0,8.16,clear sky
169,Camopi,GF,3.1655,-52.3158,80.8,90,94,3.76,moderate rain
170,Ternate,ID,0.8,127.4,81.36,78,91,1.41,overcast clouds
171,Provideniya,RU,64.3833,-173.3,21.83,90,33,12.19,scattered clouds
172,Conakry,GN,9.538,-13.6773,81.61,75,64,15.01,broken clouds
173,Bereda,ES,43.2686,-7.5406,66.15,49,61,3.0,broken clouds
174,Plouzane,FR,48.3833,-4.6167,60.85,60,0,13.8,clear sky
175,Upata,VE,8.0086,-62.3989,88.66,46,59,3.2,broken clouds
176,Lagoa,PT,39.05,-27.9833,58.15,72,3,12.39,clear sky
177,Muros,ES,42.7762,-9.0603,65.68,74,27,5.61,scattered clouds
178,Ambilobe,MG,-13.2,49.05,74.97,82,48,4.97,scattered clouds
179,Monte Alegre,BR,-2.0078,-54.0692,85.39,63,84,4.12,broken clouds
180,Muli,MV,2.9167,73.5667,84.96,66,45,4.14,scattered clouds
181,Outjo,NA,-20.1167,16.15,73.94,30,16,10.94,few clouds
